# 181 known solutions of x1^6+...+x7^6 = z^6 (primitive, z < 424000)
# reconstructed from http://euler.free.fr/database.txt (the uploaded database.txt was corrupt)
# plus three new 2nd-kind primitives from this project's solve_617_v1 Branch A (07/2026)
# format: z = x1 + x2 + ... + x7  | kind | discoverer
7567 = 7185 + 5856 + 4044 + 3834 + 3564 + 2396 + 1812  | 1st kind (7|z) | Peter J Ansell, 01/2009
7567 = 6948 + 5967 + 4826 + 4572 + 4416 + 2958 + 2496  | 1st kind (7|z) | Peter J Ansell, 01/2009
7637 = 7368 + 5154 + 4854 + 3992 + 3678 + 1956 + 1227  | 1st kind (7|z) | Peter J Ansell, 01/2009
7763 = 6936 + 6024 + 5904 + 4602 + 4365 + 3146 + 66  | 1st kind (7|z) | Peter J Ansell, 01/2009
7805 = 7404 + 5526 + 5466 + 3846 + 3786 + 1038 + 29  | 1st kind (7|z) | Peter J Ansell, 01/2009
7805 = 7038 + 6312 + 5520 + 4848 + 1635 + 648 + 272  | 1st kind (7|z) | Peter J Ansell, 01/2009
7847 = 7200 + 6004 + 5286 + 4962 + 4320 + 3993 + 1548  | 1st kind (7|z) | Peter J Ansell, 01/2009
7861 = 7691 + 4800 + 4584 + 4314 + 3072 + 2448 + 510  | 1st kind (7|z) | Peter J Ansell, 01/2009
7903 = 7818 + 4824 + 3732 + 1002 + 927 + 856 + 696  | 1st kind (7|z) | Peter J Ansell, 01/2009
8141 = 7635 + 6168 + 5710 + 3828 + 2304 + 1494 + 414  | 1st kind (7|z) | Peter J Ansell, 01/2009
8323 = 7398 + 7032 + 5748 + 4050 + 4002 + 3792 + 547  | 1st kind (7|z) | Peter J Ansell, 01/2009
8323 = 7692 + 6414 + 6168 + 2862 + 1884 + 1206 + 547  | 1st kind (7|z) | Peter J Ansell, 01/2009
8323 = 7344 + 6813 + 6500 + 1980 + 1794 + 1272 + 648  | 1st kind (7|z) | Peter J Ansell, 01/2009
8393 = 8150 + 6084 + 3900 + 3558 + 2190 + 2160 + 1623  | 1st kind (7|z) | Peter J Ansell, 01/2009
8449 = 8364 + 4764 + 4512 + 3103 + 2706 + 558 + 534  | 1st kind (7|z) | Peter J Ansell, 01/2009
8491 = 7446 + 6453 + 5952 + 5946 + 5760 + 4360 + 2094  | 1st kind (7|z) | Peter J Ansell, 01/2009
8743 = 7538 + 7416 + 6714 + 4140 + 2328 + 1863 + 1290  | 1st kind (7|z) | Peter J Ansell, 01/2009
8785 = 8538 + 6255 + 4728 + 3264 + 1664 + 1194 + 312  | 1st kind (7|z) | Peter J Ansell, 01/2009
8827 = 7680 + 7500 + 6642 + 3666 + 3323 + 2286 + 2022  | 1st kind (7|z) | Peter J Ansell, 01/2009
8869 = 7368 + 7260 + 7086 + 5952 + 4566 + 2309 + 810  | 1st kind (7|z) | Peter J Ansell, 01/2009
8869 = 8598 + 6534 + 3792 + 3468 + 2309 + 894 + 264  | 1st kind (7|z) | Peter J Ansell, 01/2009
